Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
D023.bin.1	83.33	3.39	0.0	True	4664448	0	547	547	10980	10980	8527	8527	39279	39279	69.3	1.45	94.87	5096	Yes	No	No	36	18
D023.bin.10	92.79	81.03	43.24	True	5768093	0	830	830	9031	9031	6949	6949	43014	43014	72.1	1.7	92.62	6000	Yes	No	No	62	19
D023.bin.11	43.45	0.0	0.0	True	1741652	0	117	117	20153	20153	14885	14885	50750	50750	70.0	1.01	94.08	1806	Yes	No	No	30	16
D023.bin.12	0.0	0.0	0.0	True	664094	0	215	215	3002	3002	3088	3088	5590	5590	73.7	2.26	90.87	819	No	No	No	5	5
D023.bin.13	0.0	0.0	0.0	True	260635	0	85	85	2949	2949	3066	3066	5299	5299	70.3	1.66	92.94	303	No	No	No	0	0
D023.bin.14	4.17	0.0	0.0	False	284797	0	70	70	4196	4196	4068	4068	7147	7147	56.4	0.9	88.47	274	No	No	No	4	4
D023.bin.15	92.11	1.1	0.0	True	4680515	0	157	157	59101	59101	29812	29812	187795	187795	67.4	1.11	93.11	4408	Yes	No	Yes	48	23
D023.bin.16	14.66	0.0	0.0	False	1679943	0	475	475	3435	3435	3536	3536	9382	9382	66.2	1.18	93.88	1896	No	No	No	3	3
D023.bin.17	4.17	0.0	0.0	True	526304	0	157	157	3262	3262	3352	3352	7620	7620	68.4	1.41	90.99	601	No	No	No	2	2
D023.bin.18	89.32	10.52	16.0	True	7173803	0	284	284	40796	40796	25259	25259	137588	137588	68.4	1.42	92.77	7173	Yes	No	No	57	22
D023.bin.19	99.37	260.11	0.88	False	20356845	0	5330	5330	3671	3671	3819	3819	43784	43784	70.7	2.09	92.68	24045	No	No	No	164	21
D023.bin.2	6.25	0.0	0.0	False	239759	0	78	78	2994	2994	3073	3073	5746	5746	67.9	1.29	95.3	303	No	No	No	2	1
D023.bin.20	45.67	0.49	0.0	True	516586	0	113	113	4769	4769	4571	4571	8873	8873	40.6	1.1	85.09	613	No	No	No	14	10
D023.bin.21	95.31	2.58	0.0	True	5031586	0	153	153	49833	49833	32886	32886	178986	178986	66.0	1.52	89.29	4800	Yes	No	No	47	22
D023.bin.22	48.61	1.72	0.0	True	6295391	0	1126	1126	6223	6223	5590	5590	25891	25891	69.6	2.9	91.12	5941	Yes	No	No	39	19
D023.bin.23	70.88	23.53	10.34	False	4277387	0	909	909	4735	4735	4705	4705	22714	22714	67.0	1.51	94.22	4727	Yes	No	Yes	40	21
D023.bin.24	64.73	3.1	16.67	True	4887535	0	656	656	9042	9042	7450	7450	43747	43747	69.3	1.26	94.11	5295	No	No	No	18	10
D023.bin.25	51.72	15.52	0.0	False	4322487	0	1306	1306	3180	3180	3309	3309	10650	10650	66.4	1.69	93.97	4741	No	No	No	21	9
D023.bin.26	27.13	0.0	0.0	True	1088234	0	263	263	4211	4211	4137	4137	11277	11277	55.0	1.07	89.28	1242	No	No	No	10	6
D023.bin.27	18.24	0.43	0.0	True	1147059	0	327	327	3445	3445	3507	3507	6996	6996	67.9	1.43	91.39	1393	No	No	No	5	5
D023.bin.28	45.52	1.72	0.0	True	2516728	0	401	401	7488	7488	6276	6276	27022	27022	73.2	1.32	94.39	2961	Yes	No	No	36	17
D023.bin.29	18.5	0.0	0.0	True	1265991	0	370	370	3323	3323	3421	3421	8575	8575	71.3	1.64	94.32	1567	No	No	No	11	11
D023.bin.3	79.15	0.0	0.0	True	2654615	0	229	229	15735	15735	11592	11592	53408	53408	69.2	1.48	94.15	2906	Yes	Yes	Yes	43	20
D023.bin.30	66.02	10.36	14.29	False	2363777	0	476	476	5315	5315	4965	4965	21404	21404	58.8	1.58	89.95	2723	No	No	No	16	10
D023.bin.31	87.18	2.74	25.0	True	4952219	0	594	594	10288	10288	8337	8337	62803	62803	54.2	1.21	92.25	4596	Yes	No	Yes	42	16
D023.bin.32	64.65	11.72	8.06	True	4251933	0	897	897	4922	4922	4740	4740	39320	39320	61.3	1.72	89.96	4837	Yes	No	No	40	16
D023.bin.33	6.9	0.0	0.0	True	424738	0	92	92	4825	4825	4616	4616	9410	9410	55.0	1.16	86.32	436	No	No	No	2	2
D023.bin.34	38.68	0.0	0.0	False	1869554	0	378	378	5226	5226	4945	4945	17277	17277	70.2	1.56	94.98	2084	No	No	No	15	9
D023.bin.35	57.59	10.26	4.0	False	2944120	0	787	787	3576	3576	3740	3740	11735	11735	66.3	1.37	92.69	3300	No	No	Yes	32	16
D023.bin.36	72.04	2.26	0.0	True	3552464	0	618	618	6325	6325	5748	5748	46832	46832	69.0	1.54	93.25	3697	No	No	No	25	18
D023.bin.37	89.62	23.74	25.64	False	9167525	0	1086	1086	11784	11784	8441	8441	74805	74805	63.6	1.42	89.95	9376	Yes	No	Yes	86	22
